VehicleModel,VehicleYear,PartName,HoursOfOperation,SupplierName,ClaimDate,SettlementAmount,MaintenanceFrequency,EnvironmentCondition,OperationalIntensity,WarrantyStatus,PreviousFailures,pass_fail
Model C,2021,Brake,1014.0,DriveLineTech,2022-02-08 00:53:17.865955312,1177.0019946532937,500 hours,Coastal,Heavy,In Warranty,3,pass
Model B,2018,Radiator,2332.0,RideEquipCorp,2022-02-08 15:30:04.201400464,1078.4344599816138,500 hours,Urban,Heavy,Out of Warranty,2,pass
Model A,2016,Radiator,1045.0,RideEquipCorp,2022-02-09 06:06:50.536845616,362.7490609951591,1500 hours,Urban,Moderate,Out of Warranty,4,fail
Model C,2018,Radiator,1237.0,DriveLineTech,2022-02-09 20:43:36.872290768,14451.410629516424,1000 hours,Mountainous,Light,Out of Warranty,4,fail
,2016,Alternator,4971.0,MotoComponentsLtd,2022-02-10 11:20:23.207735920,1419.482308293887,1500 hours,Urban,Moderate,Out of Warranty,3,pass
Model A,2022,Engine,4361.0,RideEquipCorp,2022-02-11 01:57:09.543181056,1935.555215051003,1500 hours,Coastal,Light,In Warranty,4,fail
Model A,2015,Radiator,3304.0,RideEquipCorp,2022-02-11 16:33:55.878626208,635.3747593960456,1000 hours,Coastal,Light,In Warranty,4,pass
Model D,2021,Alternator,706.0,DriveLineTech,2022-02-12 07:10:42.214071360,1525.068678916687,1500 hours,Mountainous,Moderate,In Warranty,0,pass
Model D,2019,Brake,3032.0,,2022-02-12 21:47:28.549516512,896.4272593353766,500 hours,Urban,Heavy,Out of Warranty,4,pass
Model B,2022,Radiator,1163.0,DriveLineTech,2022-02-13 12:24:14.884961648,1139.021943651463,1500 hours,,Heavy,Out of Warranty,4,fail
Model C,2022,Radiator,4456.0,AutoPartsCo,2022-02-14 03:01:01.220406800,1642.0850184210885,1000 hours,Mountainous,Light,Out of Warranty,3,fail
Model D,2018,Alternator,,AutoPartsCo,2022-02-14 17:37:47.555851952,482.8903377870024,1500 hours,Rural,Heavy,In Warranty,3,fail
Model D,2016,,30690.0,AutoPartsCo,2022-02-15 08:14:33.891297104,718.5940420784591,500 hours,Rural,Moderate,In Warranty,1,fail
Model C,2017,Brake,2354.0,DriveLineTech,2022-02-15 22:51:20.226742240,1557.9519068853142,1500 hours,Urban,Moderate,In Warranty,4,pass
Model D,2021,,2630.0,MotoComponentsLtd,2022-02-16 13:28:06.562187392,1162.3929348113288,1500 hours,Coastal,Moderate,Out of Warranty,4,fail
Model D,2022,Engine,101.0,RideEquipCorp,2022-02-17 04:04:52.897632544,230.2246879648869,1500 hours,Rural,Light,In Warranty,4,pass
Model B,2018,Brake,1411.0,,2022-02-17 18:41:39.233077696,888.8624402181003,1500 hours,Urban,Light,In Warranty,0,pass
Model A,2020,Headlight,1244.0,MotoComponentsLtd,2022-02-18 09:18:25.568522848,1193.9349602973818,1000 hours,Rural,Heavy,Out of Warranty,4,pass
Model A,2015,Headlight,4069.0,DriveLineTech,2022-02-18 23:55:11.903967984,1823.5587670678526,500 hours,Mountainous,Moderate,In Warranty,0,pass
Model A,2015,Brake,3188.0,AutoPartsCo,2022-02-19 14:31:58.239413136,417.5516973803454,500 hours,Rural,Moderate,Out of Warranty,1,pass
,2017,Alternator,1698.0,DriveLineTech,2022-02-20 05:08:44.574858288,1621.6082883360916,500 hours,Rural,Light,Out of Warranty,2,pass
Model D,2016,Brake,721.0,,2022-02-20 19:45:30.910303440,304.71774199935317,1500 hours,Mountainous,Light,Out of Warranty,4,pass
Model C,2018,Brake,827.0,,2022-02-21 10:22:17.245748576,522.3595371478241,500 hours,Coastal,Light,In Warranty,3,pass
Model C,2021,Alternator,4977.0,AutoPartsCo,2022-02-22 00:59:03.581193728,524.5205728057399,1000 hours,Urban,Moderate,In Warranty,3,pass
Model B,2016,Alternator,,AutoPartsCo,2022-02-22 15:35:49.916638880,1761.0844320222236,1500 hours,Coastal,Moderate,Out of Warranty,4,pass
Model B,2015,Engine,,AutoPartsCo,2022-02-23 06:12:36.252084032,,1500 hours,Coastal,Heavy,In Warranty,0,pass
Model D,2016,Engine,1910.0,MotoComponentsLtd,2022-02-23 20:49:22.587529184,1584.5734176215478,500 hours,Rural,Moderate,Out of Warranty,3,fail
Model C,2015,,3189.0,AutoPartsCo,2022-02-24 11:26:08.922974320,950.5227413382588,1500 hours,Urban,Heavy,In Warranty,3,fail
Model C,2016,Headlight,1124.0,,2022-02-25 02:02:55.258419472,1998.226997204756,1500 hours,Rural,Heavy,Out of Warranty,1,pass
Model A,2017,Headlight,1766.0,RideEquipCorp,2022-02-25 16:39:41.593864624,1686.2284223716056,500 hours,Mountainous,Moderate,Out of Warranty,1,fail
Model D,2019,,,DriveLineTech,2022-02-26 07:16:27.929309776,1492.421112173245,1000 hours,Coastal,Heavy,In Warranty,1,pass
Model D,2017,Radiator,,AutoPartsCo,2022-02-26 21:53:14.264754912,1747.9162979717812,1000 hours,Coastal,Heavy,Out of Warranty,3,pass
Model A,2017,Brake,2036.0,RideEquipCorp,2022-02-27 12:30:00.600200064,12863.592655798155,500 hours,Mountainous,Light,Out of Warranty,3,pass
Model D,2019,Brake,2683.0,RideEquipCorp,2022-02-28 03:06:46.935645216,1695.1219002305704,1000 hours,Urban,Moderate,Out of Warranty,4,pass
Model D,2019,Radiator,1051.0,RideEquipCorp,2022-02-28 17:43:33.271090368,559.1973523548389,1000 hours,Coastal,Heavy,Out of Warranty,4,pass
Model B,2022,Alternator,1096.0,MotoComponentsLtd,2022-03-01 08:20:19.606535504,240.52126164709614,1000 hours,Coastal,Heavy,Out of Warranty,0,pass
Model C,2022,Headlight,2226.0,AutoPartsCo,2022-03-01 22:57:05.941980656,1251.067413819004,1500 hours,Urban,Heavy,In Warranty,3,pass
,2018,Brake,,MotoComponentsLtd,2022-03-02 13:33:52.277425808,897.6462656939927,1500 hours,Rural,Moderate,In Warranty,4,pass
Model B,2021,,1905.0,MotoComponentsLtd,2022-03-03 04:10:38.612870960,881.5595508202423,1500 hours,Mountainous,Light,Out of Warranty,4,fail
Model C,2021,Engine,,RideEquipCorp,2022-03-03 18:47:24.948316112,1077.15831223859,1000 hours,Urban,Light,In Warranty,1,pass
Model A,2018,Brake,2283.0,RideEquipCorp,2022-03-04 09:24:11.283761248,754.696092552808,1500 hours,Mountainous,Moderate,Out of Warranty,1,fail
Model B,2017,Headlight,4624.0,DriveLineTech,2022-03-05 00:00:57.619206400,1270.8160863135167,1000 hours,Mountainous,Moderate,Out of Warranty,1,pass
Model B,2017,Alternator,2589.0,AutoPartsCo,2022-03-05 14:37:43.954651552,,500 hours,Coastal,Moderate,Out of Warranty,2,fail
Model C,2015,Brake,4658.0,AutoPartsCo,2022-03-06 05:14:30.290096704,1941.2881166694385,1000 hours,Urban,Moderate,Out of Warranty,4,pass
Model A,2015,Brake,3764.0,RideEquipCorp,2022-03-06 19:51:16.625541840,1853.1825344888623,1500 hours,Mountainous,Light,Out of Warranty,1,fail
Model B,2021,Radiator,2382.0,RideEquipCorp,2022-03-07 10:28:02.960986992,1873.7768170347706,1000 hours,Rural,Heavy,In Warranty,1,fail
Model D,2018,Engine,650.0,AutoPartsCo,2022-03-08 01:04:49.296432144,761.7568163882509,1500 hours,Mountainous,Heavy,In Warranty,3,pass
Model D,2020,Engine,4334.0,DriveLineTech,2022-03-08 15:41:35.631877296,1087.1873674352446,1500 hours,Coastal,Moderate,In Warranty,1,pass
Model D,2022,Alternator,1038.0,RideEquipCorp,2022-03-09 06:18:21.967322448,1910.5546759622716,500 hours,Rural,Moderate,In Warranty,3,pass
Model A,2020,Headlight,1931.0,,2022-03-09 20:55:08.302767584,1809.574810033794,500 hours,Rural,Heavy,In Warranty,0,fail
Model B,2018,,4533.0,MotoComponentsLtd,2022-03-10 11:31:54.638212736,1590.9767280072374,,Urban,Light,In Warranty,1,pass
Model D,2015,Brake,1804.0,RideEquipCorp,2022-03-11 02:08:40.973657888,844.2966002028053,1000 hours,Rural,Moderate,Out of Warranty,3,pass
Model A,2021,Brake,2514.0,MotoComponentsLtd,2022-03-11 16:45:27.309103040,1150.4614852052382,500 hours,Urban,Moderate,In Warranty,1,pass
Model D,2021,Engine,2273.0,RideEquipCorp,2022-03-12 07:22:13.644548176,1596.179324722463,500 hours,Urban,Light,Out of Warranty,0,pass
Model C,2015,Headlight,4532.0,MotoComponentsLtd,2022-03-12 21:58:59.979993328,582.3733913030619,1500 hours,Rural,Light,Out of Warranty,1,pass
Model B,2020,Radiator,1544.0,RideEquipCorp,2022-03-13 12:35:46.315438480,1271.5762680448172,1000 hours,Urban,Light,In Warranty,3,fail
Model B,2016,Headlight,902.0,DriveLineTech,2022-03-14 03:12:32.650883632,1664.4719334611207,500 hours,Urban,Moderate,In Warranty,0,pass
Model A,2016,Brake,501.0,DriveLineTech,2022-03-14 17:49:18.986328784,1429.5368438791577,500 hours,Rural,Light,Out of Warranty,0,fail
Model A,2015,Radiator,2374.0,DriveLineTech,2022-03-15 08:26:05.321773920,984.9872308224514,1000 hours,Coastal,Moderate,Out of Warranty,0,pass
Model B,2016,Headlight,1808.0,MotoComponentsLtd,2022-03-15 23:02:51.657219072,1189.9863011325588,500 hours,Mountainous,Moderate,Out of Warranty,2,pass
Model D,2019,Headlight,4358.0,DriveLineTech,2022-03-16 13:39:37.992664224,1977.9173091342984,1000 hours,Urban,Light,Out of Warranty,3,pass
Model D,2018,Radiator,3403.0,MotoComponentsLtd,2022-03-17 04:16:24.328109376,1223.8761995620596,1500 hours,Urban,Heavy,Out of Warranty,2,fail
Model C,2018,Brake,4186.0,RideEquipCorp,2022-03-17 18:53:10.663554512,1581.9546203363552,500 hours,Rural,Light,In Warranty,0,pass
Model D,2015,Headlight,4745.0,,2022-03-18 09:29:56.998999664,1466.879290536442,1500 hours,Mountainous,Heavy,In Warranty,2,pass
Model A,2017,Radiator,3388.0,RideEquipCorp,2022-03-19 00:06:43.334444816,1417.9067002822583,1000 hours,Mountainous,Light,Out of Warranty,1,pass
Model A,2022,Brake,2638.0,AutoPartsCo,2022-03-19 14:43:29.669889968,1446.919657472385,1500 hours,Urban,Light,Out of Warranty,2,pass
Model D,2020,Radiator,1832.0,AutoPartsCo,2022-03-20 05:20:16.005335104,936.0990149988546,1500 hours,Rural,Moderate,Out of Warranty,4,fail
Model A,2015,Radiator,3570.0,AutoPartsCo,2022-03-20 19:57:02.340780256,974.6123403103444,,Coastal,Moderate,Out of Warranty,0,pass
Model B,2016,Headlight,1829.0,MotoComponentsLtd,2022-03-21 10:33:48.676225408,962.3323378535255,1000 hours,Mountainous,Moderate,Out of Warranty,0,pass
Model B,2020,Brake,3182.0,,2022-03-22 01:10:35.011670560,,1000 hours,Coastal,Moderate,Out of Warranty,3,pass
Model D,2017,Headlight,3623.0,AutoPartsCo,2022-03-22 15:47:21.347115712,520.0773941480307,1000 hours,Rural,Moderate,Out of Warranty,1,pass
Model B,2016,Alternator,3268.0,AutoPartsCo,2022-03-23 06:24:07.682560848,3513.998129672714,1000 hours,,Moderate,Out of Warranty,3,pass
Model B,2021,Alternator,3807.0,RideEquipCorp,2022-03-23 21:00:54.018006000,1778.5677722246517,1000 hours,Rural,Moderate,In Warranty,2,pass
Model C,2022,Brake,4066.0,DriveLineTech,2022-03-24 11:37:40.353451152,,500 hours,,Heavy,Out of Warranty,4,pass
Model C,2019,Radiator,2887.0,MotoComponentsLtd,2022-03-25 02:14:26.688896304,319.96313720780375,500 hours,Coastal,Heavy,Out of Warranty,4,pass
Model B,2016,Headlight,2431.0,AutoPartsCo,2022-03-25 16:51:13.024341440,283.5455172262256,500 hours,Urban,Moderate,In Warranty,4,pass
Model D,2019,Headlight,4289.0,RideEquipCorp,2022-03-26 07:27:59.359786592,1414.9801773767094,1500 hours,Urban,Heavy,Out of Warranty,4,pass
Model C,2020,Brake,,DriveLineTech,2022-03-26 22:04:45.695231744,61.862456284170605,1500 hours,Rural,Light,Out of Warranty,1,pass
Model A,2019,Brake,4478.0,DriveLineTech,2022-03-27 12:41:32.030676896,,1000 hours,Coastal,Heavy,Out of Warranty,2,pass
Model A,2020,Alternator,1469.0,DriveLineTech,2022-03-28 03:18:18.366122048,281.7986559164827,1000 hours,Mountainous,Moderate,Out of Warranty,4,pass
Model A,2020,Engine,4200.0,RideEquipCorp,2022-03-28 17:55:04.701567184,1706.8435863900152,500 hours,Coastal,Heavy,In Warranty,0,pass
Model D,2020,Brake,1380.0,AutoPartsCo,2022-03-29 08:31:51.037012336,19189.781950822937,1000 hours,Mountainous,Light,Out of Warranty,2,fail
Model B,2020,Engine,2967.0,DriveLineTech,2022-03-29 23:08:37.372457488,1919.571501619062,1500 hours,Urban,Heavy,Out of Warranty,1,pass
Model A,2020,Brake,1496.0,RideEquipCorp,2022-03-30 13:45:23.707902640,911.8300124462002,1000 hours,Urban,Moderate,Out of Warranty,4,pass
Model D,2016,Radiator,,RideEquipCorp,2022-03-31 04:22:10.043347776,1306.803907647853,,Rural,Light,In Warranty,1,pass
Model C,2020,Radiator,3794.0,MotoComponentsLtd,2022-03-31 18:58:56.378792928,1219.423066195952,1000 hours,Mountainous,Light,Out of Warranty,4,pass
Model B,2016,Alternator,2894.0,RideEquipCorp,2022-04-01 09:35:42.714238080,732.5758577026082,1500 hours,Coastal,Heavy,Out of Warranty,0,fail
,2020,Alternator,4225.0,DriveLineTech,2022-04-02 00:12:29.049683232,915.9257582700358,500 hours,Rural,Light,In Warranty,2,pass
Model D,2019,Engine,914.0,DriveLineTech,2022-04-02 14:49:15.385128384,175.43120960490708,1000 hours,Rural,Light,In Warranty,0,pass
Model A,2021,Brake,521.0,RideEquipCorp,2022-04-03 05:26:01.720573520,1601.6131137094,1500 hours,Rural,Light,In Warranty,4,pass
Model A,2020,Headlight,1552.0,DriveLineTech,2022-04-03 20:02:48.056018672,,500 hours,Coastal,Moderate,In Warranty,3,fail
Model D,2017,Alternator,4734.0,RideEquipCorp,2022-04-04 10:39:34.391463824,948.0282957159336,500 hours,Rural,Light,Out of Warranty,2,fail
Model A,2020,Headlight,1460.0,DriveLineTech,2022-04-05 01:16:20.726908976,987.2104305524557,1500 hours,Coastal,Heavy,In Warranty,1,pass
,2020,Headlight,3820.0,MotoComponentsLtd,2022-04-05 15:53:07.062354112,1143.3878913450706,1000 hours,Rural,Heavy,In Warranty,4,fail
Model D,2019,Brake,1955.0,AutoPartsCo,2022-04-06 06:29:53.397799264,1644.8594438817754,1000 hours,Mountainous,Light,In Warranty,0,pass
Model C,2022,Engine,4709.0,,2022-04-06 21:06:39.733244416,1399.1680400583118,1000 hours,Urban,Heavy,Out of Warranty,3,pass
Model D,2018,Brake,4051.0,MotoComponentsLtd,2022-04-07 11:43:26.068689568,,500 hours,Mountainous,Light,In Warranty,4,pass
Model B,2019,Alternator,3554.0,AutoPartsCo,2022-04-08 02:20:12.404134704,1077.1537168196326,500 hours,Mountainous,Heavy,Out of Warranty,1,pass
Model B,2017,Headlight,3533.0,DriveLineTech,2022-04-08 16:56:58.739579856,237.11372214585035,1000 hours,Rural,Light,Out of Warranty,0,pass
Model D,2018,Brake,4612.0,AutoPartsCo,2022-04-09 07:33:45.075025008,833.9165197191797,500 hours,Mountainous,Light,In Warranty,2,fail
Model D,2015,Brake,648.0,RideEquipCorp,2022-04-09 22:10:31.410470160,1916.7678600165766,,,Light,Out of Warranty,3,pass
Model A,2015,Brake,1041.0,AutoPartsCo,2022-04-10 12:47:17.745915312,1991.3187468120923,1500 hours,Mountainous,Moderate,In Warranty,4,pass
Model B,2022,,19820.0,MotoComponentsLtd,2022-04-11 03:24:04.081360448,1474.4713848967906,1000 hours,Rural,Heavy,In Warranty,4,pass
Model D,2017,Engine,2834.0,AutoPartsCo,2022-04-11 18:00:50.416805600,493.6541779955578,1000 hours,Coastal,Light,Out of Warranty,4,pass
Model D,2019,Brake,3091.0,DriveLineTech,2022-04-12 08:37:36.752250752,248.68675970662204,1000 hours,Urban,Moderate,Out of Warranty,4,pass
Model B,2016,Alternator,116.0,MotoComponentsLtd,2022-04-12 23:14:23.087695904,858.7905001400885,500 hours,Urban,Moderate,Out of Warranty,0,pass
Model D,2017,Headlight,3448.0,RideEquipCorp,2022-04-13 13:51:09.423141040,1720.3152096007045,500 hours,Coastal,Light,Out of Warranty,2,pass
Model A,2021,Radiator,2800.0,DriveLineTech,2022-04-14 04:27:55.758586192,1457.635267795251,500 hours,Coastal,Light,In Warranty,1,pass
Model B,2018,Alternator,519.0,MotoComponentsLtd,2022-04-14 19:04:42.094031344,1773.5898632051546,1000 hours,Mountainous,Light,Out of Warranty,3,pass
Model A,2018,Radiator,1774.0,RideEquipCorp,2022-04-15 09:41:28.429476496,1250.7638136604219,500 hours,Urban,Light,Out of Warranty,4,pass
Model A,2020,Brake,4035.0,DriveLineTech,2022-04-16 00:18:14.764921648,304.1403109499,1000 hours,Coastal,Light,Out of Warranty,4,pass
Model A,2015,Brake,1681.0,RideEquipCorp,2022-04-16 14:55:01.100366784,273.8521356464199,,Mountainous,Heavy,Out of Warranty,2,pass
Model A,2022,Alternator,824.0,AutoPartsCo,2022-04-17 05:31:47.435811936,143.6044901287521,,Urban,Light,In Warranty,2,pass
Model B,2018,Radiator,3062.0,AutoPartsCo,2022-04-17 20:08:33.771257088,1155.8059426183854,1500 hours,Rural,Light,In Warranty,0,pass
Model A,2017,Brake,2553.0,RideEquipCorp,2022-04-18 10:45:20.106702240,523.6281614183385,,Rural,Heavy,Out of Warranty,0,pass
Model A,2018,Headlight,1536.0,AutoPartsCo,2022-04-19 01:22:06.442147376,1482.0481006421535,1000 hours,,Moderate,Out of Warranty,0,fail
Model D,2022,Engine,4069.0,RideEquipCorp,2022-04-19 15:58:52.777592528,1388.1873749221393,,Urban,Heavy,In Warranty,3,fail
Model B,2022,Engine,4277.0,DriveLineTech,2022-04-20 06:35:39.113037680,670.315947696218,1500 hours,,Moderate,In Warranty,0,fail
Model B,2022,Brake,979.0,MotoComponentsLtd,2022-04-20 21:12:25.448482832,394.76324960492553,500 hours,Rural,Moderate,In Warranty,4,pass
Model C,2017,Radiator,3062.0,RideEquipCorp,2022-04-21 11:49:11.783927984,249.68068210220235,1000 hours,Urban,Heavy,In Warranty,0,pass
Model B,2016,Brake,1555.0,MotoComponentsLtd,2022-04-22 02:25:58.119373120,1487.7647839355393,500 hours,Mountainous,Light,Out of Warranty,3,pass
Model B,2020,Radiator,4779.0,MotoComponentsLtd,2022-04-22 17:02:44.454818272,928.3599410805697,,Coastal,Moderate,Out of Warranty,0,pass
Model C,2015,Headlight,2994.0,RideEquipCorp,2022-04-23 07:39:30.790263424,680.8833326473709,500 hours,,Light,In Warranty,0,pass
Model B,2018,Radiator,2869.0,AutoPartsCo,2022-04-23 22:16:17.125708576,1720.4733808223086,1000 hours,Urban,Heavy,In Warranty,4,fail
Model B,2017,Brake,1234.0,,2022-04-24 12:53:03.461153712,1207.5457723102988,1500 hours,Coastal,Moderate,Out of Warranty,4,pass
Model B,2019,Headlight,338.0,MotoComponentsLtd,2022-04-25 03:29:49.796598864,1060.1045559733398,500 hours,Rural,Light,Out of Warranty,4,pass
Model B,2015,Alternator,1861.0,DriveLineTech,2022-04-25 18:06:36.132044016,1499.5893717024508,500 hours,Rural,Moderate,In Warranty,0,pass
Model C,2016,Engine,577.0,MotoComponentsLtd,2022-04-26 08:43:22.467489168,1640.3871234588123,500 hours,Coastal,Moderate,Out of Warranty,4,pass
Model B,2017,Brake,966.0,RideEquipCorp,2022-04-26 23:20:08.802934304,13878.426530743032,500 hours,Urban,Heavy,In Warranty,2,pass
Model B,2021,Brake,1758.0,AutoPartsCo,2022-04-27 13:56:55.138379456,908.0123212687378,500 hours,Rural,Light,Out of Warranty,1,pass
Model C,2021,Brake,3624.0,DriveLineTech,2022-04-28 04:33:41.473824608,789.6326457107656,1500 hours,Mountainous,Light,Out of Warranty,1,pass
Model D,2020,Headlight,3369.0,MotoComponentsLtd,2022-04-28 19:10:27.809269760,1554.7466296317693,1500 hours,Mountainous,Moderate,In Warranty,4,fail
Model A,2020,Alternator,1456.0,RideEquipCorp,2022-04-29 09:47:14.144714912,1059.9189632485577,1000 hours,Rural,Light,Out of Warranty,3,pass
Model D,2016,Radiator,1291.0,RideEquipCorp,2022-04-30 00:24:00.480160048,1423.552853108884,500 hours,Rural,Moderate,In Warranty,4,fail
Model C,2016,Alternator,3183.0,MotoComponentsLtd,2022-04-30 15:00:46.815605200,1786.2776387070762,1000 hours,Coastal,Heavy,Out of Warranty,4,pass
Model A,2020,Headlight,848.0,MotoComponentsLtd,2022-05-01 05:37:33.151050352,1835.9867377365713,1500 hours,Urban,Heavy,In Warranty,0,pass
Model C,2018,Brake,1573.0,MotoComponentsLtd,2022-05-01 20:14:19.486495504,591.5454965191167,,Coastal,Light,In Warranty,3,pass
Model C,2018,Engine,4157.0,AutoPartsCo,2022-05-02 10:51:05.821940640,416.38540303140246,1000 hours,Urban,Heavy,In Warranty,4,fail
Model B,2017,Brake,4978.0,MotoComponentsLtd,2022-05-03 01:27:52.157385792,559.5103526568339,500 hours,Mountainous,Heavy,Out of Warranty,2,pass
Model A,2019,Radiator,,MotoComponentsLtd,2022-05-03 16:04:38.492830944,1515.1749525442303,500 hours,Mountainous,Light,In Warranty,1,pass
Model B,2017,Engine,2740.0,AutoPartsCo,2022-05-04 06:41:24.828276096,771.6131702900124,1000 hours,Urban,Moderate,In Warranty,2,pass
Model A,2019,Brake,4141.0,RideEquipCorp,2022-05-04 21:18:11.163721248,388.10909764059306,1500 hours,Coastal,Heavy,Out of Warranty,2,pass
Model C,2016,Engine,1291.0,MotoComponentsLtd,2022-05-05 11:54:57.499166384,241.85171038859005,1000 hours,Rural,Light,Out of Warranty,2,pass
Model C,2015,Alternator,740.0,DriveLineTech,2022-05-06 02:31:43.834611536,688.2607182178913,1000 hours,Urban,Light,In Warranty,3,fail
Model D,2017,Headlight,577.0,RideEquipCorp,2022-05-06 17:08:30.170056688,315.46605868349707,1000 hours,Coastal,Light,In Warranty,3,pass
Model A,2017,Brake,1545.0,,2022-05-07 07:45:16.505501840,354.92854443994855,500 hours,Mountainous,Heavy,Out of Warranty,3,pass
Model B,2019,Radiator,3875.0,MotoComponentsLtd,2022-05-07 22:22:02.840946976,1383.573748220227,1500 hours,Rural,Heavy,Out of Warranty,1,fail
Model D,2022,Alternator,2943.0,AutoPartsCo,2022-05-08 12:58:49.176392128,88.4775865533903,1500 hours,Mountainous,Moderate,Out of Warranty,0,fail
Model D,2016,Brake,942.0,AutoPartsCo,2022-05-09 03:35:35.511837280,279.2288601696041,500 hours,Urban,Moderate,In Warranty,4,pass
Model D,2016,Alternator,436.0,AutoPartsCo,2022-05-09 18:12:21.847282432,1696.512707865538,1500 hours,Mountainous,Moderate,Out of Warranty,4,pass
Model B,2021,Radiator,1299.0,MotoComponentsLtd,2022-05-10 08:49:08.182727568,1697.5824657855937,1000 hours,Mountainous,Moderate,In Warranty,0,pass
Model D,2022,Brake,2578.0,MotoComponentsLtd,2022-05-10 23:25:54.518172720,692.0247835889751,1500 hours,Urban,Moderate,In Warranty,4,fail
Model B,2019,Radiator,,DriveLineTech,2022-05-11 14:02:40.853617872,221.50836631902152,500 hours,Rural,Moderate,In Warranty,2,fail
Model D,2016,Engine,3578.0,,2022-05-12 04:39:27.189063024,,1500 hours,Urban,Light,Out of Warranty,1,fail
Model B,2022,Radiator,947.0,MotoComponentsLtd,2022-05-12 19:16:13.524508176,752.2567911590551,500 hours,Coastal,Moderate,Out of Warranty,4,pass
Model C,2020,Engine,760.0,RideEquipCorp,2022-05-13 09:52:59.859953312,138.65602304960538,1000 hours,Urban,Heavy,Out of Warranty,1,pass
Model C,2022,Brake,3745.0,MotoComponentsLtd,2022-05-14 00:29:46.195398464,357.76261353460717,500 hours,Urban,Moderate,In Warranty,0,pass
Model C,2018,Engine,2736.0,MotoComponentsLtd,2022-05-14 15:06:32.530843616,317.5688833298474,1500 hours,Rural,Heavy,In Warranty,4,pass
Model C,2021,Brake,4562.0,RideEquipCorp,2022-05-15 05:43:18.866288768,1198.7768704639413,1000 hours,Coastal,Moderate,Out of Warranty,1,fail
Model C,2020,Brake,465.0,AutoPartsCo,2022-05-15 20:20:05.201733904,1801.3292880269446,1500 hours,Mountainous,Light,Out of Warranty,2,pass
Model D,2015,Headlight,1521.0,RideEquipCorp,2022-05-16 10:56:51.537179056,1596.490464980742,500 hours,Mountainous,Light,In Warranty,2,pass
Model D,2017,Brake,4230.0,AutoPartsCo,2022-05-17 01:33:37.872624208,1115.7062877835986,1000 hours,Mountainous,Heavy,In Warranty,0,fail
Model D,2021,Engine,4312.0,RideEquipCorp,2022-05-17 16:10:24.208069360,8732.025716085862,500 hours,Mountainous,Moderate,In Warranty,3,pass
Model B,2015,Headlight,2481.0,DriveLineTech,2022-05-18 06:47:10.543514512,1256.4195826842868,1500 hours,Rural,Light,In Warranty,4,pass
Model B,2017,Headlight,2565.0,AutoPartsCo,2022-05-18 21:23:56.878959648,915.4348449111576,500 hours,Coastal,Light,Out of Warranty,2,fail
Model B,2018,Brake,1145.0,MotoComponentsLtd,2022-05-19 12:00:43.214404800,529.8932890238161,1500 hours,Rural,Moderate,In Warranty,2,fail
Model B,2022,Radiator,859.0,DriveLineTech,2022-05-20 02:37:29.549849952,1374.4350379369453,,Urban,Heavy,In Warranty,0,fail
Model C,2016,Radiator,,AutoPartsCo,2022-05-20 17:14:15.885295104,1752.825694195576,1000 hours,Coastal,Heavy,Out of Warranty,2,pass
Model C,2020,Headlight,1042.0,AutoPartsCo,2022-05-21 07:51:02.220740240,7770.9714482767795,1000 hours,Coastal,Heavy,Out of Warranty,4,pass
Model C,2019,Brake,1331.0,AutoPartsCo,2022-05-21 22:27:48.556185392,1691.0000119981069,500 hours,Mountainous,Light,Out of Warranty,0,pass
Model A,2020,Radiator,4420.0,RideEquipCorp,2022-05-22 13:04:34.891630544,890.6099906428065,1500 hours,Mountainous,Moderate,Out of Warranty,1,pass
Model D,2018,,1823.0,AutoPartsCo,2022-05-23 03:41:21.227075696,832.6050890438806,1500 hours,Mountainous,Light,In Warranty,0,pass
Model B,2015,Brake,3611.0,MotoComponentsLtd,2022-05-23 18:18:07.562520848,105.23249721670396,1000 hours,Mountainous,Light,In Warranty,4,fail
Model B,2019,Headlight,3866.0,AutoPartsCo,2022-05-24 08:54:53.897965984,1405.79385766645,1000 hours,Urban,Light,In Warranty,4,pass
Model C,2016,,1806.0,MotoComponentsLtd,2022-05-24 23:31:40.233411136,1624.6299239719547,1000 hours,,Light,In Warranty,1,pass
Model B,2018,Alternator,2423.0,MotoComponentsLtd,2022-05-25 14:08:26.568856288,1343.935993139194,1000 hours,Rural,Moderate,In Warranty,0,fail
Model B,2019,Radiator,,MotoComponentsLtd,2022-05-26 04:45:12.904301440,345.1538552142898,500 hours,Coastal,Light,Out of Warranty,4,fail
Model D,2018,Radiator,941.0,DriveLineTech,2022-05-26 19:21:59.239746576,251.4222617276541,500 hours,Urban,Light,Out of Warranty,4,pass
Model C,2022,Radiator,4234.0,MotoComponentsLtd,2022-05-27 09:58:45.575191728,1167.0745656561521,500 hours,Urban,Heavy,In Warranty,1,fail
Model D,2018,Engine,757.0,RideEquipCorp,2022-05-28 00:35:31.910636880,832.9566956599737,500 hours,Coastal,Light,Out of Warranty,3,fail
Model A,2016,Brake,2447.0,,2022-05-28 15:12:18.246082032,,1000 hours,Coastal,Moderate,In Warranty,0,fail
Model A,2021,Headlight,4532.0,RideEquipCorp,2022-05-29 05:49:04.581527168,1937.210481148865,500 hours,Coastal,Light,In Warranty,4,fail
,2017,Radiator,2184.0,DriveLineTech,2022-05-29 20:25:50.916972320,1461.6492088264777,500 hours,Urban,Moderate,In Warranty,2,fail
